"Country","Country Code","Destination Prefix","Voice in USD","Voice Unit in Seconds",
"Afghanistan",93,93,0.32,60,
"Albania",355,355,0.25,60,
"Albania",355,3556,0.6,60,
"Albania",355,35568,0.6,60,
"Albania",355,35566,0.5,60,
"Albania",355,3553550,0.6,60,
"Albania",355,3554575,0.5,60,
"Albania",355,35534606,0.5,60,
"Albania",355,35534607,0.5,60,
"Albania",355,35534608,0.5,60,
"Albania",355,35534609,0.5,60,
"Albania",355,355424939,0.5,60,
"Albania",355,355450000,0.5,60,
"Albania",355,355450100,0.5,60,
"Albania",355,355450190,0.5,60,
"Albania",355,355450200,0.5,60,
"Albania",355,355652556,0.5,60,
"Albania",355,35586930563,0.5,60,
"Albania",355,35542517,0.5,60,
"Albania",355,35545033,0.5,60,
"Albania",355,35547285,0.5,60,
"Albania",355,35552450,0.5,60,
"Albania",355,35552670,0.5,60,
"Algeria",213,213,0.09,60,
"Algeria",213,2136,0.92,60,
"Algeria",213,2137,1.08,60,
"Algeria",213,2135,1.08,60,
"Algeria",213,21321,0.1,60,
"American Samoa",1684,1684,0.06,60,
"Andorra",376,376,0.05,60,
"Andorra",376,3763,0.3,60,
"Andorra",376,3766,0.3,60,
"Angola",244,244,0.09,60,
"Angola",244,24491,0.11,60,
"Angola",244,24492,0.3,60,
"Angola",244,24493,0.3,60,
"Angola",244,24494,0.3,60,
"Anguila",1264,1264,0.29,60,
"Anguila",1264,126458,0.35,60,
"Anguila",1264,1264235,0.35,60,
"Anguila",1264,1264469,0.35,60,
"Anguila",1264,1264476,0.35,60,
"Anguila",1264,1264543,0.35,60,
"Anguila",1264,1264543,0.35,60,
"Anguila",1264,1264729,0.35,60,
"Anguila",1264,1264772,0.35,60,
"Anguila",1264,126453,0.37,60,
"Anguila",1264,1264540,0.37,60,
"Antartica",672,672,5,60,
"Antigua and Barbuda",1268,1268,0.3,60,
"Antigua and Barbuda",1268,1268464,0.32,60,
"Antigua and Barbuda",1268,126871,0.32,60,
"Antigua and Barbuda",1268,126872,0.32,60,
"Antigua and Barbuda",1268,126873,0.32,60,
"Antigua and Barbuda",1268,126876,0.32,60,
"Antigua and Barbuda",1268,126877,0.32,60,
"Antigua and Barbuda",1268,126878,0.32,60,
"Argentina",54,5411,0.015,60,
"Argentina",54,54348,0.03,60,
"Argentina",54,54299,0.03,60,
"Argentina",54,54232,0.03,60,
"Argentina",54,543489,0.03,60,
"Argentina",54,543624,0.03,60,
"Argentina",54,54,0.035,60,
"Argentina",54,549,0.27,60,
"Argentina",54,54115519,0.3,60,
"Argentina",54,54116261,0.3,60,
"Argentina",54,54221587,0.3,60,
"Armenia",374,37497,0.25,60,
"Armenia",374,374,0.24,60,
"Armenia",374,37441,0.34,60,
"Armenia",374,37455,0.34,60,
"Armenia",374,37495,0.34,60,
"Armenia",374,37443,0.3,60,
"Armenia",374,37491,0.3,60,
"Armenia",374,37496,0.3,60,
"Armenia",374,37499,0.3,60,
"Armenia",374,37449,0.3,60,
"Armenia",374,37477,0.3,60,
"Armenia",374,37488,0.3,60,
"Armenia",374,3744,0.3,60,
"Armenia",374,37460,0.3,60,
"Aruba",297,297,0.15,60,
"Aruba",297,2979,0.31,60,
"Aruba",297,2975,0.31,60,
"Aruba",297,2976,0.31,60,
"Aruba",297,2977,0.27,60,
"Aruba",297,29764,0.27,60,
"Ascention island",247,2474,1.6,60,
"Australia",61,61,0.02,60,
"Australia",61,6113,0.045,60,
"Australia",61,6143,0.042,60,
"Australia",61,6144,0.042,60,
"Australia",61,6145,0.042,60,
"Australia",61,6146,0.042,60,
"Australia",61,6147,0.042,60,
"Australia",61,6148,0.042,60,
"Australia",61,6149,0.042,60,
"Australia",61,6116,0.042,60,
"Australia",61,6140,0.042,60,
"Australia",61,6141,0.042,60,
"Australia",61,6142,0.042,60,
"Austria",43,43,0.17,60,
"Austria",43,4365,0.3,60,
"Austria",43,4366,0.3,60,
"Austria",43,4367,0.3,60,
"Austria",43,4368,0.3,60,
"Austria",43,4369,0.3,60,
"Austria",43,4382,0.58,60,
"Austria",43,43711,0.58,60,
"Austria",43,43720,0.58,60,
"Austria",43,43730,0.58,60,
"Austria",43,43740,0.58,60,
"Austria",43,43780,0.58,60,
"Austria",43,43810,0.58,60,
"Austria",43,4367080125,0.58,60,
"Austria",43,4367080127,0.58,60,
"Austria",43,43670801260,0.58,60,
"Austria",43,43670809747,0.58,60,
"Austria",43,43670809911,0.58,60,
"Azerbaijan",994,994,0.28,60,
"Azerbaijan",994,9945,0.44,60,
"Azerbaijan",994,9947,0.44,60,
"Azerbaijan",994,99440,0.4,60,
"Azerbaijan",994,99444,0.35,60,
"Azerbaijan",994,99460,0.35,60,
"Burundi",257,2577,0.7,60,
"Burundi",257,25775,0.8,60,
"Burundi",257,2576,0.8,60,
"Burundi",257,25777,0.8,60,
"Burundi",257,25778,0.8,60,
"Burundi",257,257,0.7,60,
"Belgium",32,32,0.11,60,
"Belgium",32,3270,0.5,60,
"Belgium",32,3247,0.5,60,
"Belgium",32,3248,0.5,60,
"Belgium",32,3277,0.5,60,
"Belgium",32,32456,0.5,60,
"Belgium",32,32460,0.5,60,
"Belgium",32,32465,0.5,60,
"Belgium",32,32466,0.5,60,
"Belgium",32,32467,0.5,60,
"Belgium",32,32468,0.5,60,
"Belgium",32,324630,0.5,60,
"Belgium",32,3249,0.5,60,
"Belgium",32,324651,0.5,60,
